site,barcode,fstation,sitetype,stratum,sdate,stime,fdate,ftime,pool,lcode,gear,period,rep,summary,project,effdist,effhr,effmin,pwrgoal,pwrused,volts,v_qf,amps,a_qf,pulses,p_qf,dutycyc,dc_qf,utmzone,utm_e,utm_n,gisgrid,zone15e,zone15n,gpsmeth,gpsacc,secchi,s_qf,temp,t_qf,depth,d_qf,cond,c_qf,current,cv_qf,do,do_qf,stageht,sh_qf,sveg92,vegd,eveg92,esveg92,substrt,snag,wingdyke,trib,riprap,inout,closing,flooded,othrstrc,labind,contanrs,shtcnt,totfishc,leader,pageno,rec_site,rownum,fishcode,length,tfs,grp_wdth,catch,weight,pathcode,subproj,userdef,recorder,nfsh_cnt,orphflag,batchno  
,14005012,4,1,"BWC-S","09/06/2007","11:20","09/06/2007","11:35","26","F41A.RS","D",2,"",5,"M-",200,0,15,3801,3800,200,"",19,"",60,"",25,"",15,721120,4314435,72110.31445,721120,4314435,1,1,23,"",26.2,"",.6,"",397,"",0,"",3.3,"","","","","","",0,2,"1","0","0","0","0","0","0","0","",0,"",324,"",1,1,137,"SVCP",350,"T",1,1,"","","","","","","0","2702"
,14005012,4,1,"BWC-S","09/06/2007","11:20","09/06/2007","11:35","26","F41A.RS","D",2,"",5,"M-",200,0,15,3801,3800,200,"",19,"",60,"",25,"",15,721120,4314435,72110.31445,721120,4314435,1,1,23,"",26.2,"",.6,"",397,"",0,"",3.3,"","","","","","",0,2,"1","0","0","0","0","0","0","0","",0,"",324,"",1,1,138,"SVCP",340,"T",1,1,"","","","","","","0","2702"
,14005012,4,1,"BWC-S","09/06/2007","11:20","09/06/2007","11:35","26","F41A.RS","D",2,"",5,"M-",200,0,15,3801,3800,200,"",19,"",60,"",25,"",15,721120,4314435,72110.31445,721120,4314435,1,1,23,"",26.2,"",.6,"",397,"",0,"",3.3,"","","","","","",0,2,"1","0","0","0","0","0","0","0","",0,"",324,"",1,1,139,"SVCP",220,"T",1,1,"","","","","","","0","2702"
,14005014,4,1,"BWC-S","09/06/2007","13:05","09/06/2007","13:20","26","F42A.RS","D",2,"",5,"M-",200,0,15,3801,3800,200,"",19,"",60,"",25,"",15,720820,4314185,72080.3142,720820,4314185,1,1,23,"",26.3,"",.5,"",397,"",0,"",3.3,"","","","","","",0,2,"1","0","0","0","0","0","0","0","",1,"",355,"",1,1,47,"SVCP",240,"T",1,1,"","","","","","","0","2702"
,14005014,4,1,"BWC-S","09/06/2007","13:05","09/06/2007","13:20","26","F42A.RS","D",2,"",5,"M-",200,0,15,3801,3800,200,"",19,"",60,"",25,"",15,720820,4314185,72080.3142,720820,4314185,1,1,23,"",26.3,"",.5,"",397,"",0,"",3.3,"","","","","","",0,2,"1","0","0","0","0","0","0","0","",1,"",355,"",1,1,103,"SVCP",400,"T",1,2,"","","","","","","0","2702"
,14005014,4,1,"BWC-S","09/06/2007","13:05","09/06/2007","13:20","26","F42A.RS","D",2,"",5,"M-",200,0,15,3801,3800,200,"",19,"",60,"",25,"",15,720820,4314185,72080.3142,720820,4314185,1,1,23,"",26.3,"",.5,"",397,"",0,"",3.3,"","","","","","",0,2,"1","0","0","0","0","0","0","0","",1,"",355,"",1,1,104,"SVCP",380,"T",1,1,"","","","","","","0","2702"
,14005014,4,1,"BWC-S","09/06/2007","13:05","09/06/2007","13:20","26","F42A.RS","D",2,"",5,"M-",200,0,15,3801,3800,200,"",19,"",60,"",25,"",15,720820,4314185,72080.3142,720820,4314185,1,1,23,"",26.3,"",.5,"",397,"",0,"",3.3,"","","","","","",0,2,"1","0","0","0","0","0","0","0","",1,"",355,"",1,1,105,"SVCP",410,"T",1,1,"","","","","","","0","2702"
,14005014,4,1,"BWC-S","09/06/2007","13:05","09/06/2007","13:20","26","F42A.RS","D",2,"",5,"M-",200,0,15,3801,3800,200,"",19,"",60,"",25,"",15,720820,4314185,72080.3142,720820,4314185,1,1,23,"",26.3,"",.5,"",397,"",0,"",3.3,"","","","","","",0,2,"1","0","0","0","0","0","0","0","",1,"",355,"",1,1,106,"SVCP",360,"T",1,1,"","","","","","","0","2702"
,14005014,4,1,"BWC-S","09/06/2007","13:05","09/06/2007","13:20","26","F42A.RS","D",2,"",5,"M-",200,0,15,3801,3800,200,"",19,"",60,"",25,"",15,720820,4314185,72080.3142,720820,4314185,1,1,23,"",26.3,"",.5,"",397,"",0,"",3.3,"","","","","","",0,2,"1","0","0","0","0","0","0","0","",1,"",355,"",1,1,16,"SVCP",190,"T",1,1,"","","","","","","0","2702"
,14005015,4,0,"BWC-S","09/07/2007","10:45","09/07/2007","11:00","26","D12.RS","D",2,"",5,"M-",200,0,15,3842,3800,200,"",19,"",60,"",25,"",15,740570,4309135,74055.30915,740570,4309135,1,1,12,"",25.4,"",.3,"",414,"",0,"",6,"","","","","","",0,1,"1","0","0","0","0","0","0","1","",0,"",357,"",1,1,54,"SVCP",70,"T",1,1,"","","","","","","0","2702"
,14005030,4,0,"MCB-U","09/11/2007","10:40","09/13/2007","13:37","26","H2.RS","HL",2,"",5,"M-","",50,57,"","","","","","","","","","",15,717370,4311585,71735.3116,717370,4311585,1,1,28,"",25.1,"",5.1,"",440,"",.52,"",6.6,"","","","","","",0,3,"0","0","0","0","0","0","0","0","",0,"",26,"",1,1,15,"GSCP",830,"T",1,1,"","","","","","","0","2702"
Mason Island,14005034,4,0,"MCB-W","09/18/2007","13:50","09/18/2007","14:05","26","M219.5E","D",3,"",5,"M-",200,0,15,3911,3990,210,"",19,"",60,"",25,"",15,720516,4315210,72050.3152,720516,4315210,1,2,43,"",23,"",2.2,"",447,"",.37,"",7.7,"","","","","","",0,4,"0","1","0","1","0","0","0","0","",0,"",124,"",1,1,53,"SVCP",730,"T",1,1,"","","","","","","0","2702"
,14005035,4,0,"MCB-U","09/20/2007","11:10","09/20/2007","11:25","26","D6.RS","D",3,"",5,"M-",200,0,15,4014,4074,194,"",21,"",60,"",25,"",15,743870,4307435,74385.30745,743870,4307435,1,1,36,"",23.7,"",4.2,"",462,"",.25,"",8.2,"","","","","","",0,4,"0","0","0","1","0","0","0","1","",0,"",146,"",1,1,23,"SVCP",180,"T",1,1,"","","","","","","0","2702"
,14005035,4,0,"MCB-U","09/20/2007","11:10","09/20/2007","11:25","26","D6.RS","D",3,"",5,"M-",200,0,15,4014,4074,194,"",21,"",60,"",25,"",15,743870,4307435,74385.30745,743870,4307435,1,1,36,"",23.7,"",4.2,"",462,"",.25,"",8.2,"","","","","","",0,4,"0","0","0","1","0","0","0","1","",0,"",146,"",1,1,24,"SVCP",220,"T",1,1,"","","","","","","0","2702"
,14005036,4,0,"MCB-U","09/20/2007","12:45","09/20/2007","13:00","26","D4.RS","D",3,"",5,"M-",200,0,15,4479,4560,190,"",24,"",60,"",25,"",15,744020,4307585,74400.3076,744020,4307585,1,1,34,"",23.6,"",4,"",566,"",.1,"",7.2,"","","","","","",0,4,"0","0","0","1","0","0","0","1","",0,"",68,"",1,1,2,"GSCP",420,"T",1,1,"","","","","","","0","2702"
,14005036,4,0,"MCB-U","09/20/2007","12:45","09/20/2007","13:00","26","D4.RS","D",3,"",5,"M-",200,0,15,4479,4560,190,"",24,"",60,"",25,"",15,744020,4307585,74400.3076,744020,4307585,1,1,34,"",23.6,"",4,"",566,"",.1,"",7.2,"","","","","","",0,4,"0","0","0","1","0","0","0","1","",0,"",68,"",1,1,5,"SVCP",420,"T",1,1,"","","","","","","0","2702"
,14005036,4,0,"MCB-U","09/20/2007","12:45","09/20/2007","13:00","26","D4.RS","D",3,"",5,"M-",200,0,15,4479,4560,190,"",24,"",60,"",25,"",15,744020,4307585,74400.3076,744020,4307585,1,1,34,"",23.6,"",4,"",566,"",.1,"",7.2,"","","","","","",0,4,"0","0","0","1","0","0","0","1","",0,"",68,"",1,1,6,"SVCP",350,"T",1,1,"","","","","","","0","2702"
,14005036,4,0,"MCB-U","09/20/2007","12:45","09/20/2007","13:00","26","D4.RS","D",3,"",5,"M-",200,0,15,4479,4560,190,"",24,"",60,"",25,"",15,744020,4307585,74400.3076,744020,4307585,1,1,34,"",23.6,"",4,"",566,"",.1,"",7.2,"","","","","","",0,4,"0","0","0","1","0","0","0","1","",0,"",68,"",1,1,7,"SVCP",390,"T",1,1,"","","","","","","0","2702"
,14005036,4,0,"MCB-U","09/20/2007","12:45","09/20/2007","13:00","26","D4.RS","D",3,"",5,"M-",200,0,15,4479,4560,190,"",24,"",60,"",25,"",15,744020,4307585,74400.3076,744020,4307585,1,1,34,"",23.6,"",4,"",566,"",.1,"",7.2,"","","","","","",0,4,"0","0","0","1","0","0","0","1","",0,"",68,"",1,1,8,"SVCP",300,"T",1,1,"","","","","","","0","2702"
,14005036,4,0,"MCB-U","09/20/2007","12:45","09/20/2007","13:00","26","D4.RS","D",3,"",5,"M-",200,0,15,4479,4560,190,"",24,"",60,"",25,"",15,744020,4307585,74400.3076,744020,4307585,1,1,34,"",23.6,"",4,"",566,"",.1,"",7.2,"","","","","","",0,4,"0","0","0","1","0","0","0","1","",0,"",68,"",1,1,9,"SVCP",330,"T",1,1,"","","","","","","0","2702"
,14005037,4,0,"MCB-U","09/20/2007","13:35","09/20/2007","13:50","26","D5.RS","D",3,"",5,"M-",200,0,15,4479,4560,190,"",24,"",60,"",25,"",15,744820,4307485,74480.3075,744820,4307485,1,1,34,"",23.6,"",3.8,"",566,"",.25,"",7.2,"","","","","","",0,4,"1","0","0","1","0","0","0","0","",0,"",97,"",1,1,11,"SVCP",380,"T",1,1,"","","","","","","0","2702"
,14005037,4,0,"MCB-U","09/20/2007","13:35","09/20/2007","13:50","26","D5.RS","D",3,"",5,"M-",200,0,15,4479,4560,190,"",24,"",60,"",25,"",15,744820,4307485,74480.3075,744820,4307485,1,1,34,"",23.6,"",3.8,"",566,"",.25,"",7.2,"","","","","","",0,4,"1","0","0","1","0","0","0","0","",0,"",97,"",1,1,12,"SVCP",410,"T",1,2,"","","","","","","0","2702"
,14005037,4,0,"MCB-U","09/20/2007","13:35","09/20/2007","13:50","26","D5.RS","D",3,"",5,"M-",200,0,15,4479,4560,190,"",24,"",60,"",25,"",15,744820,4307485,74480.3075,744820,4307485,1,1,34,"",23.6,"",3.8,"",566,"",.25,"",7.2,"","","","","","",0,4,"1","0","0","1","0","0","0","0","",0,"",97,"",1,1,14,"SVCP",420,"T",1,2,"","","","","","","0","2702"
,14005037,4,0,"MCB-U","09/20/2007","13:35","09/20/2007","13:50","26","D5.RS","D",3,"",5,"M-",200,0,15,4479,4560,190,"",24,"",60,"",25,"",15,744820,4307485,74480.3075,744820,4307485,1,1,34,"",23.6,"",3.8,"",566,"",.25,"",7.2,"","","","","","",0,4,"1","0","0","1","0","0","0","0","",0,"",97,"",1,1,15,"SVCP",390,"T",1,2,"","","","","","","0","2702"
,14005037,4,0,"MCB-U","09/20/2007","13:35","09/20/2007","13:50","26","D5.RS","D",3,"",5,"M-",200,0,15,4479,4560,190,"",24,"",60,"",25,"",15,744820,4307485,74480.3075,744820,4307485,1,1,34,"",23.6,"",3.8,"",566,"",.25,"",7.2,"","","","","","",0,4,"1","0","0","1","0","0","0","0","",0,"",97,"",1,1,16,"SVCP",370,"T",1,1,"","","","","","","0","2702"
,14005054,4,0,"MCB-U","09/27/2007","12:09","09/27/2007","12:24","26","D7.RS","D",3,"",5,"M-",200,0,15,4383,4370,190,"",23,"",60,"",25,"",15,744470,4307335,74445.30735,744470,4307335,1,2,35,"",23.8,"",1.8,"",545,"",.04,"",7,"","","","","","",0,4,"1","0","0","1","0","0","0","0","",0,"",99,"",1,1,5,"SVCP",270,"T",1,1,"","","","","","","0","2702"
,14005054,4,0,"MCB-U","09/27/2007","12:09","09/27/2007","12:24","26","D7.RS","D",3,"",5,"M-",200,0,15,4383,4370,190,"",23,"",60,"",25,"",15,744470,4307335,74445.30735,744470,4307335,1,2,35,"",23.8,"",1.8,"",545,"",.04,"",7,"","","","","","",0,4,"1","0","0","1","0","0","0","0","",0,"",99,"",1,1,12,"BHCP",280,"T",1,1,"","","","","","","0","2702"
,14005055,4,0,"MCB-U","09/27/2007","13:20","09/27/2007","13:31","26","D8.RS","D",3,"",5,"M-",200,0,11,4195,4160,208,"",20,"",60,"",25,"",15,746420,4306235,74640.30625,746420,4306235,1,1,73,"",24.2,"",7,"",503,"",.37,"",8.5,"","","","","","",0,4,"0","0","0","0","0","0","0","1","",0,"",39,"",1,1,1,"SVCP",330,"T",1,1,"","","","","","","0","2702"
,14005055,4,0,"MCB-U","09/27/2007","13:20","09/27/2007","13:31","26","D8.RS","D",3,"",5,"M-",200,0,11,4195,4160,208,"",20,"",60,"",25,"",15,746420,4306235,74640.30625,746420,4306235,1,1,73,"",24.2,"",7,"",503,"",.37,"",8.5,"","","","","","",0,4,"0","0","0","0","0","0","0","1","",0,"",39,"",1,1,3,"SVCP",380,"T",1,1,"","","","","","","0","2702"
,14005055,4,0,"MCB-U","09/27/2007","13:20","09/27/2007","13:31","26","D8.RS","D",3,"",5,"M-",200,0,11,4195,4160,208,"",20,"",60,"",25,"",15,746420,4306235,74640.30625,746420,4306235,1,1,73,"",24.2,"",7,"",503,"",.37,"",8.5,"","","","","","",0,4,"0","0","0","0","0","0","0","1","",0,"",39,"",1,1,4,"SVCP",350,"T",1,1,"","","","","","","0","2702"
,14005055,4,0,"MCB-U","09/27/2007","13:20","09/27/2007","13:31","26","D8.RS","D",3,"",5,"M-",200,0,11,4195,4160,208,"",20,"",60,"",25,"",15,746420,4306235,74640.30625,746420,4306235,1,1,73,"",24.2,"",7,"",503,"",.37,"",8.5,"","","","","","",0,4,"0","0","0","0","0","0","0","1","",0,"",39,"",1,1,5,"SVCP",420,"T",1,1,"","","","","","","0","2702"
,14005055,4,0,"MCB-U","09/27/2007","13:20","09/27/2007","13:31","26","D8.RS","D",3,"",5,"M-",200,0,11,4195,4160,208,"",20,"",60,"",25,"",15,746420,4306235,74640.30625,746420,4306235,1,1,73,"",24.2,"",7,"",503,"",.37,"",8.5,"","","","","","",0,4,"0","0","0","0","0","0","0","1","",0,"",39,"",1,1,2,"SVCP",370,"T",1,1,"","","","","","","0","2702"
,14005056,4,0,"IMP-S","10/01/2007","12:18","10/01/2007","12:33","26","D24.RS","D",3,"",5,"M-",200,0,15,3848,3895,205,"",19,"",60,"",25,"",15,743920,4306635,74390.30665,743920,4306635,1,2,30,"",22.6,"",1.6,"",432,"",0,"",8.9,"","","","","","",0,2,"0","0","0","1","0","0","0","0","",0,"",669,"",1,1,173,"SVCP",20,"T",1,1,"","","","","","","0","2702"
,14005056,4,0,"IMP-S","10/01/2007","12:18","10/01/2007","12:33","26","D24.RS","D",3,"",5,"M-",200,0,15,3848,3895,205,"",19,"",60,"",25,"",15,743920,4306635,74390.30665,743920,4306635,1,2,30,"",22.6,"",1.6,"",432,"",0,"",8.9,"","","","","","",0,2,"0","0","0","1","0","0","0","0","",0,"",669,"",1,1,174,"SVCP",30,"T",1,1,"","","","","","","0","2702"
,14005056,4,0,"IMP-S","10/01/2007","12:18","10/01/2007","12:33","26","D24.RS","D",3,"",5,"M-",200,0,15,3848,3895,205,"",19,"",60,"",25,"",15,743920,4306635,74390.30665,743920,4306635,1,2,30,"",22.6,"",1.6,"",432,"",0,"",8.9,"","","","","","",0,2,"0","0","0","1","0","0","0","0","",0,"",669,"",1,1,10,"SVCP",670,"T",1,1,"","","","","","","0","2702"
,14005057,4,0,"IMP-S","10/01/2007","14:18","10/01/2007","14:33","26","D21.RS","D",3,"",5,"M-",200,0,15,3707,3910,170,"",23,"",60,"",25,"",15,744720,4306385,74470.3064,744720,4306385,1,2,16,"",23.7,"",5,"",390,"",0,"",14.1,"","","","","","",0,2,"1","0","0","0","0","0","0","0","",0,"",396,"",1,1,141,"BHCP",30,"T",1,1,"","","","","","","0","2702"
,14005057,4,0,"IMP-S","10/01/2007","14:18","10/01/2007","14:33","26","D21.RS","D",3,"",5,"M-",200,0,15,3707,3910,170,"",23,"",60,"",25,"",15,744720,4306385,74470.3064,744720,4306385,1,2,16,"",23.7,"",5,"",390,"",0,"",14.1,"","","","","","",0,2,"1","0","0","0","0","0","0","0","",0,"",396,"",1,1,72,"SVCP",90,"T",1,2,"","","","","","","0","2702"
,14005057,4,0,"IMP-S","10/01/2007","14:18","10/01/2007","14:33","26","D21.RS","D",3,"",5,"M-",200,0,15,3707,3910,170,"",23,"",60,"",25,"",15,744720,4306385,74470.3064,744720,4306385,1,2,16,"",23.7,"",5,"",390,"",0,"",14.1,"","","","","","",0,2,"1","0","0","0","0","0","0","0","",0,"",396,"",1,1,73,"SVCP",80,"T",1,1,"","","","","","","0","2702"
,14005057,4,0,"IMP-S","10/01/2007","14:18","10/01/2007","14:33","26","D21.RS","D",3,"",5,"M-",200,0,15,3707,3910,170,"",23,"",60,"",25,"",15,744720,4306385,74470.3064,744720,4306385,1,2,16,"",23.7,"",5,"",390,"",0,"",14.1,"","","","","","",0,2,"1","0","0","0","0","0","0","0","",0,"",396,"",1,1,74,"SVCP",70,"T",1,2,"","","","","","","0","2702"
,14005057,4,0,"IMP-S","10/01/2007","14:18","10/01/2007","14:33","26","D21.RS","D",3,"",5,"M-",200,0,15,3707,3910,170,"",23,"",60,"",25,"",15,744720,4306385,74470.3064,744720,4306385,1,2,16,"",23.7,"",5,"",390,"",0,"",14.1,"","","","","","",0,2,"1","0","0","0","0","0","0","0","",0,"",396,"",1,1,75,"SVCP",60,"T",1,3,"","","","","","","0","2702"
,14005057,4,0,"IMP-S","10/01/2007","14:18","10/01/2007","14:33","26","D21.RS","D",3,"",5,"M-",200,0,15,3707,3910,170,"",23,"",60,"",25,"",15,744720,4306385,74470.3064,744720,4306385,1,2,16,"",23.7,"",5,"",390,"",0,"",14.1,"","","","","","",0,2,"1","0","0","0","0","0","0","0","",0,"",396,"",1,1,76,"SVCP",50,"T",1,1,"","","","","","","0","2702"
,14005057,4,0,"IMP-S","10/01/2007","14:18","10/01/2007","14:33","26","D21.RS","D",3,"",5,"M-",200,0,15,3707,3910,170,"",23,"",60,"",25,"",15,744720,4306385,74470.3064,744720,4306385,1,2,16,"",23.7,"",5,"",390,"",0,"",14.1,"","","","","","",0,2,"1","0","0","0","0","0","0","0","",0,"",396,"",1,1,77,"SVCP",30,"T",1,5,"","","","","","","0","2702"
,14005057,4,0,"IMP-S","10/01/2007","14:18","10/01/2007","14:33","26","D21.RS","D",3,"",5,"M-",200,0,15,3707,3910,170,"",23,"",60,"",25,"",15,744720,4306385,74470.3064,744720,4306385,1,2,16,"",23.7,"",5,"",390,"",0,"",14.1,"","","","","","",0,2,"1","0","0","0","0","0","0","0","",0,"",396,"",1,1,104,"BHCP",50,"T",1,1,"","","","","","","0","2702"
,14005057,4,0,"IMP-S","10/01/2007","14:18","10/01/2007","14:33","26","D21.RS","D",3,"",5,"M-",200,0,15,3707,3910,170,"",23,"",60,"",25,"",15,744720,4306385,74470.3064,744720,4306385,1,2,16,"",23.7,"",5,"",390,"",0,"",14.1,"","","","","","",0,2,"1","0","0","0","0","0","0","0","",0,"",396,"",1,1,105,"SVCP",30,"T",1,1,"","","","","","","0","2702"
,14005057,4,0,"IMP-S","10/01/2007","14:18","10/01/2007","14:33","26","D21.RS","D",3,"",5,"M-",200,0,15,3707,3910,170,"",23,"",60,"",25,"",15,744720,4306385,74470.3064,744720,4306385,1,2,16,"",23.7,"",5,"",390,"",0,"",14.1,"","","","","","",0,2,"1","0","0","0","0","0","0","0","",0,"",396,"",1,1,126,"SVCP",30,"T",1,1,"","","","","","","0","2702"
,14005057,4,0,"IMP-S","10/01/2007","14:18","10/01/2007","14:33","26","D21.RS","D",3,"",5,"M-",200,0,15,3707,3910,170,"",23,"",60,"",25,"",15,744720,4306385,74470.3064,744720,4306385,1,2,16,"",23.7,"",5,"",390,"",0,"",14.1,"","","","","","",0,2,"1","0","0","0","0","0","0","0","",0,"",396,"",1,1,62,"SVCP",50,"T",1,1,"","","","","","","0","2702"
,14005066,4,0,"IMP-S","10/09/2007","11:11","10/09/2007","11:26","26","D23.RS","D",3,"",5,"M-",200,0,15,3827,3940,197,"",20,"",60,"",25,"",15,746020,4305435,74600.30545,746020,4305435,1,2,29,"",23.1,"",.8,"",427,"",0,"",10.2,"","","","","","",0,2,"1","0","0","1","0","0","0","0","",0,"",135,"",1,1,92,"SVCP",420,"T",1,2,"","","","","","","0","2702"
,14005066,4,0,"IMP-S","10/09/2007","11:11","10/09/2007","11:26","26","D23.RS","D",3,"",5,"M-",200,0,15,3827,3940,197,"",20,"",60,"",25,"",15,746020,4305435,74600.30545,746020,4305435,1,2,29,"",23.1,"",.8,"",427,"",0,"",10.2,"","","","","","",0,2,"1","0","0","1","0","0","0","0","",0,"",135,"",1,1,93,"SVCP",380,"T",1,2,"","","","","","","0","2702"
,14005066,4,0,"IMP-S","10/09/2007","11:11","10/09/2007","11:26","26","D23.RS","D",3,"",5,"M-",200,0,15,3827,3940,197,"",20,"",60,"",25,"",15,746020,4305435,74600.30545,746020,4305435,1,2,29,"",23.1,"",.8,"",427,"",0,"",10.2,"","","","","","",0,2,"1","0","0","1","0","0","0","0","",0,"",135,"",1,1,94,"SVCP",390,"T",1,2,"","","","","","","0","2702"
,14005066,4,0,"IMP-S","10/09/2007","11:11","10/09/2007","11:26","26","D23.RS","D",3,"",5,"M-",200,0,15,3827,3940,197,"",20,"",60,"",25,"",15,746020,4305435,74600.30545,746020,4305435,1,2,29,"",23.1,"",.8,"",427,"",0,"",10.2,"","","","","","",0,2,"1","0","0","1","0","0","0","0","",0,"",135,"",1,1,95,"SVCP",370,"T",1,1,"","","","","","","0","2702"
,14005066,4,0,"IMP-S","10/09/2007","11:11","10/09/2007","11:26","26","D23.RS","D",3,"",5,"M-",200,0,15,3827,3940,197,"",20,"",60,"",25,"",15,746020,4305435,74600.30545,746020,4305435,1,2,29,"",23.1,"",.8,"",427,"",0,"",10.2,"","","","","","",0,2,"1","0","0","1","0","0","0","0","",0,"",135,"",1,1,96,"SVCP",260,"T",1,1,"","","","","","","0","2702"
,14005066,4,0,"IMP-S","10/09/2007","11:11","10/09/2007","11:26","26","D23.RS","D",3,"",5,"M-",200,0,15,3827,3940,197,"",20,"",60,"",25,"",15,746020,4305435,74600.30545,746020,4305435,1,2,29,"",23.1,"",.8,"",427,"",0,"",10.2,"","","","","","",0,2,"1","0","0","1","0","0","0","0","",0,"",135,"",1,1,97,"SVCP",360,"T",1,1,"","","","","","","0","2702"
,14005066,4,0,"IMP-S","10/09/2007","11:11","10/09/2007","11:26","26","D23.RS","D",3,"",5,"M-",200,0,15,3827,3940,197,"",20,"",60,"",25,"",15,746020,4305435,74600.30545,746020,4305435,1,2,29,"",23.1,"",.8,"",427,"",0,"",10.2,"","","","","","",0,2,"1","0","0","1","0","0","0","0","",0,"",135,"",1,1,98,"SVCP",230,"T",1,1,"","","","","","","0","2702"
,14005066,4,0,"IMP-S","10/09/2007","11:11","10/09/2007","11:26","26","D23.RS","D",3,"",5,"M-",200,0,15,3827,3940,197,"",20,"",60,"",25,"",15,746020,4305435,74600.30545,746020,4305435,1,2,29,"",23.1,"",.8,"",427,"",0,"",10.2,"","","","","","",0,2,"1","0","0","1","0","0","0","0","",0,"",135,"",1,1,99,"SVCP",220,"T",1,2,"","","","","","","0","2702"
,14005066,4,0,"IMP-S","10/09/2007","11:11","10/09/2007","11:26","26","D23.RS","D",3,"",5,"M-",200,0,15,3827,3940,197,"",20,"",60,"",25,"",15,746020,4305435,74600.30545,746020,4305435,1,2,29,"",23.1,"",.8,"",427,"",0,"",10.2,"","","","","","",0,2,"1","0","0","1","0","0","0","0","",0,"",135,"",1,1,100,"SVCP",230,"T",1,1,"","","","","","","0","2702"
,14005068,4,0,"BWC-S","10/10/2007","09:02","10/10/2007","09:17","26","D19.RS","D",3,"",5,"M-",200,0,15,4018,4140,180,"",23,"",60,"",25,"",15,737820,4309585,73780.3096,737820,4309585,1,2,15,"",20.1,"",.4,"",502,"",0,"",7.6,"","","","",2,"",2,1,"1","0","0","0","0","0","0","0","",0,"",273,"",1,1,91,"SVCP",90,"T",1,1,"","","","","","","0","2702"
,14005068,4,0,"BWC-S","10/10/2007","09:02","10/10/2007","09:17","26","D19.RS","D",3,"",5,"M-",200,0,15,4018,4140,180,"",23,"",60,"",25,"",15,737820,4309585,73780.3096,737820,4309585,1,2,15,"",20.1,"",.4,"",502,"",0,"",7.6,"","","","",2,"",2,1,"1","0","0","0","0","0","0","0","",0,"",273,"",1,1,92,"SVCP",80,"T",1,1,"","","","","","","0","2702"
,14005068,4,0,"BWC-S","10/10/2007","09:02","10/10/2007","09:17","26","D19.RS","D",3,"",5,"M-",200,0,15,4018,4140,180,"",23,"",60,"",25,"",15,737820,4309585,73780.3096,737820,4309585,1,2,15,"",20.1,"",.4,"",502,"",0,"",7.6,"","","","",2,"",2,1,"1","0","0","0","0","0","0","0","",0,"",273,"",1,1,9,"GSCP",110,"T",1,1,"","","","","","","0","2702"
,14005068,4,0,"BWC-S","10/10/2007","09:02","10/10/2007","09:17","26","D19.RS","D",3,"",5,"M-",200,0,15,4018,4140,180,"",23,"",60,"",25,"",15,737820,4309585,73780.3096,737820,4309585,1,2,15,"",20.1,"",.4,"",502,"",0,"",7.6,"","","","",2,"",2,1,"1","0","0","0","0","0","0","0","",0,"",273,"",1,1,58,"SVCP",80,"T",1,4,"","","","","","","0","2702"
,14005069,4,0,"BWC-S","10/10/2007","12:53","10/10/2007","13:08","26","D11.RS","D",3,"",5,"M-",200,0,15,3694,3838,202,"",19,"",60,"",25,"",15,739820,4309235,73980.30925,739820,4309235,1,2,15,"",21.4,"",.5,"",411,"",0,"",8.9,"","","","","","",0,1,"0","0","0","0","0","0","0","0","",0,"",85,"",1,1,31,"SVCP",110,"T",1,1,"","","","","","","0","2702"
,14005074,4,0,"BWC-S","10/11/2007","11:10","10/12/2007","11:33","26","M11.RS","M",3,"",5,"M-","",24,23,"","","","","","","","","","",15,721070,4314485,72105.3145,721070,4314485,1,2,17,"",17.3,"",.4,"",420,"",0,"",12.8,"","","","","","",0,1,"0","0","0","0","0","0","0","0","",0,"",18,"",1,1,3,"SVCP",50,"T",1,1,"","","","","","","0","2702"
,14005077,4,1,"BWC-S","10/15/2007","11:05","10/15/2007","11:20","26","F28A.RS","D",3,"",5,"M-",200,0,15,5370,5610,170,"",33,"",60,"",25,"",15,734370,4310785,73435.3108,734370,4310785,1,2,30,"",19.2,"",.4,"",840,"",0,"",9.2,"","","","","","",0,1,"1","0","0","0","0","0","0","0","",0,"",304,"",1,1,33,"SVCP",50,"T",1,1,"","","","","","","0","2702"
,14005077,4,1,"BWC-S","10/15/2007","11:05","10/15/2007","11:20","26","F28A.RS","D",3,"",5,"M-",200,0,15,5370,5610,170,"",33,"",60,"",25,"",15,734370,4310785,73435.3108,734370,4310785,1,2,30,"",19.2,"",.4,"",840,"",0,"",9.2,"","","","","","",0,1,"1","0","0","0","0","0","0","0","",0,"",304,"",1,1,34,"SVCP",40,"T",1,1,"","","","","","","0","2702"
,14005077,4,1,"BWC-S","10/15/2007","11:05","10/15/2007","11:20","26","F28A.RS","D",3,"",5,"M-",200,0,15,5370,5610,170,"",33,"",60,"",25,"",15,734370,4310785,73435.3108,734370,4310785,1,2,30,"",19.2,"",.4,"",840,"",0,"",9.2,"","","","","","",0,1,"1","0","0","0","0","0","0","0","",0,"",304,"",1,1,16,"SVCP",80,"T",1,1,"","","","","","","0","2702"
